"lot";0
"cd";0
"schooldist";0
"council";0
"zipcode";0
"firecomp";0
"policeprct";0
"healtharea";0
"sanitboro";0
"sanitsub";4.36191220367121e-86
"zonedist1";9.51321740903875e-288
"spdist1";1.07968529508168e-26
"ltdheight";0.0242614471180801
"landuse";0
"ext";2.40084361149248e-24
"proxcode";1.41835938437894e-75
"irrlotcode";3.00819018514165e-110
"lottype";8.0779491083259e-123
"borocode";0
"edesignum";7.78933802884649e-10
"sanitdistrict";0
"healthcenterdistrict";0
"pfirm15_flag";5.62935078091059e-35
