,scores,support
firecomp_Q288,2738.9842366710914,False
policeprct_1,9184.403846153922,False
policeprct_5,9368.000000000107,False
policeprct_6,9212.265625000104,False
policeprct_7,8796.06250000007,False
policeprct_9,9152.311111111028,False
policeprct_10,8503.462962962905,False
policeprct_13,9163.847826087056,False
policeprct_14,9380.999999999973,False
policeprct_17,9369.999999999942,False
policeprct_18,9003.807692307726,False
policeprct_19,8996.43989071051,False
policeprct_20,8990.359999999846,False
policeprct_23,7532.339285714301,False
policeprct_24,9163.84782608705,False
policeprct_25,7688.445833333394,False
policeprct_26,7210.846153846177,False
policeprct_28,8773.746031745957,False
policeprct_30,6994.642361110906,False
policeprct_32,7630.0891861763785,False
policeprct_33,8074.694444444325,False
policeprct_34,8428.406698564419,False
policeprct_40,6917.132458698003,False
policeprct_41,6071.917088294205,False
policeprct_42,5337.810176651207,False
policeprct_43,5063.289348099901,False
policeprct_44,6814.58494838461,False
policeprct_45,5347.910368328889,False
policeprct_46,6144.370157244988,False
policeprct_47,4956.935499620353,False
policeprct_48,6297.375603503233,False
policeprct_49,4521.00527963986,False
policeprct_50,6349.523295984759,False
policeprct_52,5642.121370426588,False
policeprct_60,5517.715446022211,False
policeprct_61,4906.378591839587,False
policeprct_62,4054.51202523233,False
policeprct_63,4741.969677718303,False
policeprct_66,5220.991075718477,False
policeprct_67,4299.830474246295,False
policeprct_68,4864.295241607938,False
policeprct_69,5065.154056835978,False
policeprct_70,4901.224787616422,False
policeprct_71,5201.312735424953,False
policeprct_72,4733.49308207276,False
policeprct_73,5792.448078402851,False
policeprct_75,5116.777409391556,False
policeprct_76,6493.0866340297025,False
policeprct_77,5354.699645910402,False
policeprct_78,5712.365007004678,False
policeprct_79,6068.530082722071,False
policeprct_81,5654.674319245063,False
policeprct_83,6020.930859640743,False
policeprct_84,7783.545608107803,False
policeprct_88,7091.737121212422,False
policeprct_90,6443.485937974462,False
policeprct_94,5764.037277906722,False
policeprct_100,6552.285059212179,False
policeprct_101,5678.3390724618275,False
policeprct_102,3481.977546050717,False
policeprct_103,4515.536713354438,False
policeprct_104,4354.648535195069,False
policeprct_105,4108.812932433239,False
policeprct_106,4427.8313422343235,False
policeprct_107,4845.830953110878,False
policeprct_108,5123.4487513443355,False
policeprct_109,4808.98761435833,False
policeprct_110,5152.726544547387,False
policeprct_111,4794.469634481209,False
policeprct_112,5130.295433858914,False
policeprct_113,4906.563116744703,False
policeprct_114,4844.839839806117,False
policeprct_115,4365.140028914536,False
policeprct_120,5636.27311280226,False
policeprct_121,4823.544176633856,False
policeprct_122,5347.827776647459,False
policeprct_123,5616.5245917981965,False
healtharea_100,5133.000025783669,False
healtharea_110,3598.727786671381,False
healtharea_120,3631.176583320589,False
healtharea_200,5606.90992154504,False
healtharea_210,5473.7267672469015,False
healtharea_221,6149.989320110733,False
healtharea_222,4994.3037025913245,False
healtharea_300,5358.433276418892,False
healtharea_310,4131.306845237917,False
healtharea_320,6366.464285714145,False
healtharea_400,6229.672081276001,False
healtharea_410,5399.004761904585,False
healtharea_420,3807.8480367965053,False
healtharea_500,6416.737402617846,False
healtharea_510,5006.541366400909,False
healtharea_520,4774.81104327711,False
healtharea_600,5188.464001498333,False
healtharea_610,4840.8548665757535,False
healtharea_620,4264.528176506414,False
healtharea_700,5289.399142836286,False
healtharea_710,5570.309855570096,False
healtharea_720,6596.5916178675925,False
healtharea_800,5567.841095498829,False
healtharea_810,4231.777573352373,False
healtharea_820,3927.1966410765967,False
healtharea_900,6774.8363105912695,False
healtharea_910,5545.264912006022,False
healtharea_920,4997.39800954393,False
healtharea_1000,6776.144867478079,False
healtharea_1011,4688.49999999993,False
healtharea_1012,6221.242806267726,False
healtharea_1021,5581.263825355706,False
healtharea_1022,4224.165142881716,False
healtharea_1100,5285.443242718417,False
healtharea_1200,6396.97352569778,False
healtharea_1210,5305.153235652973,False
healtharea_1220,5157.464927637364,False
healtharea_1300,6644.109183674008,False
healtharea_1310,3922.3645742453627,False
healtharea_1320,3696.5051863742624,False
healtharea_1400,4694.499999999641,False
healtharea_1410,5684.182691687265,False
healtharea_1420,5668.050804017422,False
healtharea_1500,5548.426404842777,False
