zipcode,block,lot,cd,schooldist,council,firecomp,policeprct,healtharea,sanitboro,sanitsub,zonedist1,spdist1,ltdheight,landuse,ownertype,lotarea,bldgarea,resarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,assessland,assesstot,yearbuilt,borocode,xcoord,ycoord,edesignum,sanitdistrict,healthcenterdistrict,pfirm15_flag,last_modif
11436,12007.0,309.0,12.0,27.0,28.0,L126,113.0,3300.0,4.0,4C,R3A,0.0,0.0,11.0,,1943.0,0.0,1600.0,0.0,0.0,0.0,0.0,22.5,88.58,0.0,0.0,0.0,0.0,N,5.0,655.0,655.0,1920.0,4.0,1041621.0,187331.0,0.0,12.0,44.0,0.0,0.0
11436,11985.0,148.0,12.0,27.0,28.0,L126,113.0,3300.0,4.0,4C,R3A,0.0,0.0,11.0,,600.0,0.0,1600.0,0.0,0.0,0.0,0.0,10.0,60.0,0.0,0.0,0.0,0.0,N,8.0,147.0,147.0,1920.0,4.0,1039493.0,187541.0,0.0,12.0,44.0,0.0,0.0
11436,11969.0,40.0,12.0,27.0,28.0,L126,113.0,3300.0,4.0,4C,R3A,0.0,0.0,11.0,C,237.0,0.0,1600.0,0.0,0.0,0.0,0.0,3.75,79.75,0.0,0.0,0.0,0.0,Y,8.0,129.0,129.0,1920.0,4.0,1038762.0,187829.0,0.0,12.0,44.0,0.0,0.0
11436,11993.0,24.0,12.0,27.0,28.0,L126,113.0,3300.0,4.0,4C,R3A,0.0,0.0,11.0,,2000.0,0.0,1600.0,0.0,0.0,0.0,0.0,20.0,100.0,0.0,0.0,0.0,0.0,N,5.0,2487.0,2487.0,1920.0,4.0,1041607.0,188100.0,0.0,12.0,44.0,0.0,0.0
11436,11993.0,23.0,12.0,27.0,28.0,L126,113.0,3300.0,4.0,4C,R3A,0.0,0.0,11.0,,2000.0,0.0,1600.0,0.0,0.0,0.0,0.0,20.0,100.0,0.0,0.0,0.0,0.0,N,3.0,2487.0,2487.0,1920.0,4.0,1041626.0,188107.0,0.0,12.0,44.0,0.0,0.0
11436,11991.0,248.0,12.0,27.0,28.0,L126,113.0,3300.0,4.0,4C,R3A,0.0,0.0,11.0,,400.0,0.0,1600.0,0.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,0.0,N,8.0,72.0,72.0,1920.0,4.0,1040852.0,188296.0,0.0,12.0,44.0,0.0,0.0
11436,12055.0,41.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,1793.0,0.0,1600.0,0.0,0.0,0.0,0.0,18.08,99.17,0.0,0.0,0.0,0.0,N,5.0,2088.0,2088.0,1920.0,4.0,1039705.0,184258.0,0.0,12.0,45.0,0.0,0.0
11436,12063.0,140.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,C,800.0,0.0,1600.0,0.0,0.0,0.0,0.0,3.18,318.0,0.0,0.0,0.0,0.0,Y,8.0,50.0,50.0,1920.0,4.0,1041561.0,184453.0,0.0,12.0,45.0,0.0,0.0
11436,12052.0,20.0,12.0,27.0,28.0,E302,113.0,3612.0,4.0,6C,R3A,0.0,0.0,11.0,,1970.0,0.0,1600.0,0.0,0.0,0.0,0.0,20.0,98.5,0.0,0.0,0.0,0.0,N,5.0,2293.0,2293.0,1920.0,4.0,1039524.0,184833.0,0.0,12.0,45.0,0.0,0.0
11436,12039.0,133.0,12.0,27.0,28.0,L126,113.0,3220.0,4.0,6C,R3A,0.0,0.0,11.0,C,244.0,0.0,1600.0,0.0,0.0,0.0,0.0,2.42,100.58,0.0,0.0,0.0,0.0,Y,8.0,246.0,246.0,1920.0,4.0,1040599.0,185036.0,0.0,12.0,45.0,0.0,0.0
11436,12032.0,47.0,12.0,27.0,28.0,L126,113.0,3220.0,4.0,6C,R3A,0.0,0.0,11.0,,210.0,0.0,1600.0,0.0,0.0,0.0,0.0,10.75,42.67,0.0,0.0,0.0,0.0,Y,8.0,140.0,140.0,1920.0,4.0,1039542.0,185193.0,0.0,12.0,45.0,0.0,0.0
11436,12041.0,57.0,12.0,27.0,28.0,L126,113.0,3300.0,4.0,6C,R3A,0.0,0.0,11.0,,1699.0,0.0,1600.0,0.0,0.0,0.0,0.0,12.25,100.0,0.0,0.0,0.0,0.0,Y,5.0,1112.0,1112.0,1920.0,4.0,1041134.0,185543.0,0.0,12.0,44.0,0.0,0.0
