"","block","lot","cd","schooldist","council","zipcode","firecomp","policeprct","healtharea","sanitboro","sanitsub","zonedist1","spdist1","ltdheight","landuse","ownertype","lotarea","bldgarea","resarea","numbldgs","numfloors","unitsres","unitstotal","lotfront","lotdepth","bldgfront","bldgdepth","ext","proxcode","irrlotcode","lottype","assessland","assesstot","yearbuilt","borocode","xcoord","ycoord","edesignum","sanitdistrict","healthcenterdistrict","pfirm15_flag","last_modif"
"1",5641,670,"10",12,13,NA,"",25,95,2," ","","0","0","7","",53758,0,2001,0,0,0,0,516,219,0,0,"0","0","Y","5",59400,59400,1920,2,1044510,246734,"0","12","17","1",0
"3",4205,41,"11",11,13,NA,"Q061",49,1410,2,"2E","R4","0","0","11","",2369,0,2001,0,0,0,0,25.01,95.06,0,0,"0","0","Y","5",5361,5361,1920,2,1026345,249922,"0","11","26","0",0
"4",2402,14,"01",7,17,NA,"L055",40,3900,2,"1B","R6","0","0","10","",3750,0,2001,0,0,0,0,37.5,100,0,0,"0","0","N","5",67500,81000,1920,2,1007336,238351,"0","1","23","0",0
"6",14246,1206,"10",27,32,NA,"L173",106,3611,4,"4E","R3A","1","0","11","",1600,0,1600,0,0,0,0,20,80,0,0,"0","0","N","5",1641,1641,1920,4,1031765,177320,"0","10","45","1",0
"17",7577,112,"03",31,51,NA,"L076",123,800,5,"8E","R3X","1","0","11","",6600,0,1500,0,0,0,0,60,110,0,0,"0","0","Y","5",8476,8476,1920,5,920242,129658,"0","3","51","0",0
"22",5227,35,"03",31,51,NA,"E162",122,920,5,"3D","R3A","1","0","11","C",3800,0,1500,0,0,0,0,40,95,0,0,"0","0","N","5",4934,4934,1920,5,940786,138448,"0","3","51","0",0
"25",151,190,"01",31,49,NA,"L079",120,300,5,"2E","R3X","0","0","11","",775,0,1500,0,0,0,0,50,15,0,0,"0","0","N","5",535,535,1920,5,953712,171044,"0","1","51","0",0
"26",1753,132,"03",13,33,NA,"L102",79,1410,3,"1A","M1-2","0","0","0","",400,0,2064,1,0,0,0,20,20,0,0,"0","0","N","5",2250,4950,1920,3,997325,192311,"0","3","36","0",0
"35",4791,82,"03",31,50,NA,"E165",122,920,5,"1D","R3X","1","0","11","C",1380,0,1500,0,0,0,0,21,60,0,0,"0","0","Y","5",120,120,1920,5,952917,140135,"0","3","51","1",0
"46",5607,200,"10",10,13,NA,"",31,95,2," ","","0","0","11","C",519475,0,2001,0,0,0,0,1000,495,0,0,"0","0","Y","5",70200,70200,1920,2,1032840,234424,"0","1","23","1",0
"48",4694,13,"03",31,50,NA,"E165",122,920,5,"1D","R3X","0","0","11","",4400,0,1500,0,0,0,0,44,100,0,0,"0","0","N","5",3070,3070,1920,5,951118,141446,"0","3","51","1",0
"54",13922,200,"10",27,32,NA,"L173",106,3000,4,"4D","PARK","0","0","9","C",628451,0,1600,1,0,0,0,1276.11,475,0,0,"0","0","Y","1",46237,46237,1920,4,1022684,178684,"0","10","45","1",0
"57",837,17,"01",30,22,NA,"E312",114,400,4,"2D","R5B","0","0","10","",36,0,1600,0,0,0,0,2,18,0,0,"0","0","Y","8",450,450,1920,4,1007323,220055,"0","1","41","0",0
"63",7762,13,"03",31,51,NA,"E151",123,800,5,"8D","PARK","0","0","9","C",4000,0,1500,0,0,0,0,40,100,0,0,"0","0","N","5",4057,4057,1920,5,920581,126009,"0","3","51","0",0
"66",2987,38,"01",31,49,NA,"E153",120,700,5,"1C","R3A","0","0","11","",630,0,1500,0,0,0,0,35,18,0,0,"0","0","Y","5",1944,1944,1920,5,962802,162404,"0","1","51","0",0
"70",2,950,"01",10,49,NA,"",75,26,1," ","","0","0","11","X",155000,0,1500,0,0,0,0,330,992,0,0,"0","0","Y","9",21150,21150,1920,5,961077,175965,"0","95","24","1",0
"85",32,39,"01",31,49,NA,"E155",120,400,5,"2C","R3A","1","0","11","",2500,0,1500,0,0,0,0,25,100,0,0,"0","0","N","5",4357,4357,1920,5,960818,174305,"0","1","51","0",0
"86",735,10,"01",31,50,NA,"L083",121,600,5,"4E","R3-1","0","0","11","",800,0,1500,0,0,0,0,40,20,0,0,"0","0","Y","5",457,457,1920,5,946437,162098,"0","1","51","0",0
"87",6323,24,"03",31,51,NA,"E167",123,800,5,"7C","R3X","1","0","11","",2400,0,1500,1,0,0,0,20,120,0,0,"0","0","N","5",4093,4093,1920,5,933364,134402,"0","3","51","0",0
"88",6690,120,"03",4,51,NA,"",77,8,3," ","C3","1","0","11","X",224250,0,1500,0,0,0,0,690.17,325.25,0,0,"0","0","Y","5",3643,3643,1920,5,927600,125577,"0","95","14","1",0
"90",12326,54,"12",28,27,NA,"E275",113,3400,4,"4D","R3A","0","0","11","",2546,0,1600,0,0,0,0,38.83,67.75,0,0,"0","0","Y","5",3283,3283,1920,4,1045147,191359,"0","12","44","0",0
"91",6019,49,"03",31,51,NA,"L084",123,800,5,"5C","R3-2","1","0","11","C",1800,0,1500,0,0,0,0,20,90,0,0,"0","0","N","5",1350,1350,1920,5,929601,141418,"0","3","51","0",0
"96",3839,24,"02",31,50,NA,"L081",122,910,5,"2E","R3-1","1","0","11","X",2000,0,1500,0,0,0,0,20,100,0,0,"0","0","N","5",1969,1969,1920,5,961771,149812,"0","2","51","1",0
"101",15953,31,"14",27,31,NA,"E265",101,3800,4,"2E","PARK","0","0","9","C",1792,0,1600,0,0,0,0,35.83,100,0,0,"0","0","Y","5",2088,2088,1920,4,1048162,157180,"0","14","45","1",0
"102",15475,49,"14",27,32,NA,"E266",100,3612,4,"2C","C3A","1","0","11","",408,0,1600,0,0,0,0,12,34,0,0,"0","0","N","8",300,300,1920,4,1034451,159523,"0","14","45","1",0
"103",6402,18,"03",31,51,NA,"E164",123,800,5,"4D","PARK","0","0","9","C",6000,0,1500,0,0,0,0,60,100,0,0,"0","0","N","5",9374,9374,1920,5,937170,131449,"0","3","51","0",0
"115",7105,11,"03",31,51,NA,"E168",123,800,5,"6C","R3-1","1","0","11","C",80451,0,1500,0,0,0,0,746,276,0,0,"0","0","N","5",106821,106821,1920,5,922277,136539,"0","3","51","0",0
"117",688,62,"02",31,50,NA,"L083",122,600,5,"3D","R1-2","1","0","11","",16300,0,1500,0,0,0,0,99,164,0,0,"0","0","N","5",15345,15345,1920,5,953379,159607,"0","2","51","0",0
"122",7328,363,"03",31,51,NA,"L076",123,800,5,"6D","M1-1","1","0","11","",5500,0,1500,0,0,0,0,50,110,0,0,"0","0","N","5",57150,57150,1920,5,918796,135205,"0","3","51","0",0
"139",7254,75,"13",21,47,NA,"E245",60,9020,3,"2B","R6","1","0","9","C",94026,0,2064,0,0,0,0,223.58,469.75,0,0,"0","0","Y","3",1222650,1390050,1920,3,992473,151547,"0","13","37","1",0
"164",10935,36,"12",29,27,NA,"L150",113,3520,4,"2E","R2","0","0","11","",200,0,1600,0,0,0,0,2,100,0,0,"0","0","N","8",44,44,1920,4,1050561,195609,"0","12","44","0",0
"185",7550,1,"03",31,51,NA,"L076",123,800,5,"7D","R3X","1","0","11","C",619327,0,1500,0,0,0,0,770,800,0,0,"0","0","Y","5",86580,86580,1920,5,922209,128694,"0","3","51","1",0
"203",611,79,"01",31,49,NA,"L077",120,500,5,"1E","R2","1","0","11","",7616,0,1500,0,0,0,0,64,119,0,0,"0","0","N","5",16500,16500,1920,5,960789,167597,"0","1","51","0",0
"204",199,126,"01",21,1,NA,"",44,186,4," ","M2-1","1","0","0","C",47250,78432,2064,1,1,0,1,60,787.5,134,680,"0","0","N","5",103,1892700,1970,3,983897,193211,"0","55","14","1",0
"219",7773,53,"03",31,51,NA,"E151",123,800,5,"8D","PARK","0","0","9","C",4000,0,1500,0,0,0,0,40,100,0,0,"0","0","N","5",71550,71550,1920,5,920336,127631,"0","3","51","0",0
"244",52,43,"01",31,49,NA,"E155",120,400,5,"2C","R3X","1","0","11","X",2587,0,1500,0,0,0,0,25,103,0,0,"0","0","N","5",3554,3554,1920,5,959883,174115,"0","1","51","0",0
"257",3326,47,"02",31,50,NA,"L081",122,910,5,"1E","R3X","0","0","11","",2000,0,1500,0,0,0,0,20,100,0,0,"0","0","N","5",3580,3580,1920,5,959895,155513,"0","2","51","0",0
"285",2266,1,"02",31,50,NA,"L085",122,100,5,"2C","R1-2","1","0","11","",95890,0,1500,0,0,0,0,441.5,191.67,0,0,"0","0","Y","3",7899,7899,1920,5,946943,149493,"0","2","51","1",0
"293",5644,288,"10",11,13,NA,"E070",45,720,2,"1C","R3A","1","0","11","",1508,0,2001,0,0,0,0,26,58,0,0,"0","0","N","5",1394,1394,1920,2,1043968,248553,"0","10","24","0",0
"329",5540,1,"02",31,51,NA,"L087",121,100,5,"4C","PARK","0","0","9","C",1740000,0,1500,0,0,0,0,842,766,0,0,"0","0","Y","3",1386420,1386420,1920,5,939357,146063,"0","2","51","1",0
"332",13842,1,"13",29,31,NA,"E314",105,3620,4,"7E","PARK","0","0","9","C",9270,0,1600,0,0,0,0,126.75,70,0,0,"0","0","Y","5",4275,4275,1920,4,1055190,174895,"0","13","44","1",0
"336",6505,12,"03",31,51,NA,"E164",123,800,5,"7C","PARK","0","0","9","C",4000,0,1500,0,0,0,0,40,100,0,0,"0","0","N","5",600,600,1920,5,934326,132512,"0","3","51","0",0
"337",4060,129,"11",11,13,NA,"L041",49,1220,2,"1E","R4","0","0","11","",2080,0,2001,0,0,0,0,44.72,45.11,0,0,"0","0","Y","6",4328,4328,1920,2,1024663,246830,"0","11","26","0",0
"343",5524,213,"10",8,13,NA,"E072",45,3220,2,"2C","R3-1","0","0","1","",2575,0,2001,1,0,0,0,25,91,0,0,"0","0","Y","5",6112,6177,1920,2,1037822,235627,"0","10","26","1",0
"344",7771,40,"03",31,51,NA,"E151",123,800,5,"8D","PARK","0","0","9","C",4000,0,1500,0,0,0,0,40,100,0,0,"0","0","N","5",600,600,1920,5,919997,126970,"0","3","51","0",0
"349",6407,27,"03",31,51,NA,"E164",123,800,5,"4D","PARK","0","0","9","C",6600,0,1500,0,0,0,0,60,110,0,0,"0","0","N","5",1020,1020,1920,5,936765,132271,"0","3","51","1",0
"353",6914,32,"03",31,51,NA,"E168",123,800,5,"6E","R3X","1","0","11","",13200,0,1500,0,0,0,0,66,200,0,0,"0","0","N","5",20420,20420,1920,5,927141,133795,"0","3","51","0",0
"355",5762,107,"03",31,51,NA,"E167",123,800,5,"5C","PARK","0","0","9","C",4293,0,1500,0,0,0,0,187,39.92,0,0,"0","0","Y","5",2320,2320,1920,5,931565,143673,"0","3","51","0",0
"359",7766,22,"03",31,51,NA,"E151",123,800,5,"8D","PARK","0","0","9","C",6000,0,1500,0,0,0,0,60,100,0,0,"0","0","N","5",3283,3283,1920,5,920361,126707,"0","3","51","0",0
"362",4121,2,"07",25,19,NA,"E295",109,210,4,"5E","PARK","0","0","9","C",18900,0,1600,0,0,0,0,274,70,0,0,"0","0","Y","5",80520,80520,1920,4,1030518,225120,"0","7","43","1",0
"379",7206,248,"03",31,51,NA,"E168",123,800,5,"6D","M3-1","1","0","0","",15000,0,1500,0,0,0,0,100,150,0,0,"0","0","N","5",102150,102150,1920,5,920514,139018,"0","3","51","0",0
"382",5975,338,"10",20,43,NA,"E241",68,7600,3,"2D","R2","1","0","11","",500,0,2064,0,0,0,0,5,100,0,0,"0","0","N","8",300,300,1920,3,973450,168443,"0","10","31","0",0
"383",1703,99,"03",24,21,NA,"E316",115,610,4,"1C","R6A","0","0","10","",4500,0,1600,0,0,0,0,40,112.5,0,0,"0","0","N","5",118800,118800,1920,4,1022879,216063,"1","3","42","0",0
"386",7153,75,"03",31,51,NA,"L084",123,800,5,"6C","M2-1","1","0","11","",5500,0,1500,0,0,0,0,50,123,0,0,"0","0","Y","5",7250,7250,1920,5,923550,140807,"0","3","51","0",0
"387",7206,40,"03",31,51,NA,"E168",123,800,5,"6D","M3-1","1","0","11","",18412,0,1500,0,0,0,0,107,169,0,0,"0","0","Y","5",152100,152100,1920,5,920204,138801,"0","3","51","0",0
"389",14247,2271,"10",27,32,NA,"L173",106,3611,4,"4E","R3A","1","0","11","",960,0,1600,0,0,0,0,12,80,0,0,"0","0","N","8",600,600,1920,4,1031537,177172,"0","10","45","1",0
"390",5837,3701,"08",10,11,NA,"E052",50,100,2,"3D","R1-2","1","0","11","",71663,0,2001,0,0,0,0,169.25,170.67,0,0,"0","0","Y","5",58609,58609,1920,2,1011219,266813,"0","8","21","0",0
"391",5839,4025,"08",10,11,NA,"E052",50,100,2,"3D","R1-2","1","0","11","",31044,0,2001,0,0,0,0,100,212,0,0,"0","0","Y","5",38914,38914,1920,2,1010956,267045,"0","8","21","0",0
"394",5550,10,"03",31,51,NA,"L087",121,100,5,"2D","R3-2","1","0","11","X",19358,0,1500,0,0,0,0,75,315,0,0,"0","0","Y","6",20880,20880,1920,5,940692,145190,"0","3","51","1",0
"395",2291,1,"02",31,50,NA,"L085",122,100,5,"2C","R1-2","1","0","11","C",160000,0,1500,0,0,0,0,200,800,0,0,"0","0","N","3",12506,12506,1920,5,944561,148151,"0","2","51","1",0
"396",7745,1,"03",31,51,NA,"E151",123,800,5,"8D","PARK","0","0","9","C",56549,0,1500,0,0,0,0,680,84.88,0,0,"0","0","Y","3",69451,69451,1920,5,921384,126957,"0","3","51","0",0
"435",601,127,"01",30,26,NA,"L116",114,400,4,"6C","M1-2/R5B","1","0","11","C",200,0,1600,0,0,0,0,2,100,0,0,"0","0","Y","8",2250,2250,1920,4,1003867,214563,"0","1","41","0",0
"530",4729,11,"12",11,12,NA,"E038",47,620,2,"2D","R5","0","0","11","",3215,0,2001,0,0,0,0,27,119.08,0,0,"0","0","N","4",6206,6206,1920,2,1027336,259636,"0","12","24","0",0
"561",624,54,"01",31,49,NA,"E160",120,500,5,"1E","R3A","1","0","11","",2000,0,1500,0,0,0,0,20,100,0,0,"0","0","N","5",3783,3783,1920,5,959611,162677,"0","1","51","0",0
"608",13462,15,"13",29,31,NA,"E311",105,3620,4,"8D","R3-1","0","0","11","C",39,0,1600,0,0,0,0,5.42,14.08,0,0,"0","0","Y","8",10,10,1920,4,1052772,179177,"0","13","44","0",0
"619",15321,70,"14",27,32,NA,"E266",100,3612,4,"2C","R3A","1","0","11","",3000,0,1600,0,0,0,0,30,100,0,0,"0","0","N","5",360,360,1920,4,1033618,158391,"0","14","45","1",0
"631",16061,1,"14",29,31,NA,"",70,27,4," ","R4-1","0","0","11","C",2500,0,1600,0,0,0,0,26,106,0,0,"0","0","Y","3",300,300,1920,4,1038307,157079,"0","2","41","1",0
"633",5303,150,"03",18,51,NA,"",77,23,2," ","C3A","1","0","9","",208490,0,1500,0,0,0,0,650,694,0,0,"0","0","Y","2",57150,505800,1920,5,944936,135190,"0","95","41","1",1987
"634",8005,119,"03",17,51,NA,"",74,17,1," ","R1-2","1","0","11","C",69146,0,1500,0,0,0,0,193,246.6,0,0,"0","0","Y","5",67980,67980,1920,5,913757,125284,"0","3","31","1",0
"640",5944,122,"08",10,11,NA,"E052",50,100,2,"3D","R2","1","0","11","",5618,0,2001,0,0,0,0,105.17,105.17,0,0,"0","0","Y","5",18385,18385,1920,2,1009327,266054,"0","8","21","0",0
"641",5940,377,"08",10,11,NA,"E052",50,100,2,"3D","R1-1","1","0","11","",6840,0,2001,0,0,0,0,72.58,132.17,0,0,"0","0","Y","5",23023,23023,1920,2,1009081,266060,"0","8","21","0",0
"642",5944,244,"08",10,11,NA,"E052",50,100,2,"3D","R1-1","1","0","11","",12467,0,2001,0,0,0,0,127,98.17,0,0,"0","0","N","5",18662,18662,1920,2,1009653,266756,"0","8","21","0",0
"646",7087,18,"03",31,51,NA,"E168",123,800,5,"6C","R3-1","1","0","11","",4000,0,1500,0,0,0,0,40,100.01,0,0,"0","0","N","5",7330,7330,1920,5,923480,139533,"0","3","51","0",0
"647",5944,249,"08",10,11,NA,"E052",50,100,2,"3D","R1-1","1","0","11","",10688,0,2001,0,0,0,0,127.75,83.67,0,0,"0","0","N","5",17280,17280,1920,2,1009615,266633,"0","8","21","0",0
"648",7087,22,"03",31,51,NA,"E168",123,800,5,"6C","R3-1","1","0","11","",4000,0,1500,0,0,0,0,40,100.01,0,0,"0","0","N","5",7330,7330,1920,5,923556,139555,"0","3","51","0",0
"649",6205,200,"03",31,51,NA,"E167",123,800,5,"4E","R3-2","1","0","11","",87194,0,1500,0,0,0,0,94,572,0,0,"0","0","Y","5",38010,38010,1920,5,936308,136550,"0","3","51","0",0
"651",10848,8,"12",29,27,NA,"L150",103,3520,4,"3E","R3A","0","0","11","",2000,0,1600,0,0,0,0,20,100,0,0,"0","0","N","5",3351,3351,1920,4,1051263,198665,"0","12","44","0",0
"677",6896,101,"03",31,51,NA,"L084",123,800,5,"7E","R3X","1","0","11","",800,0,1500,0,0,0,0,22,100,0,0,"0","0","Y","5",120,120,1920,5,927718,131476,"0","3","51","0",0
"679",15303,550,"14",27,32,NA,"E266",100,3612,4,"2C","R3A","1","0","11","C",68000,0,1600,0,0,0,0,340,200,0,0,"0","0","Y","5",26671,26671,1920,4,1033822,162598,"0","14","45","1",0
"727",7563,10,"03",31,51,NA,"L076",123,800,5,"8E","M1-1","1","0","11","C",300,0,1500,0,0,0,0,10,30,0,0,"0","0","N","5",81,81,1920,5,920329,128873,"0","3","51","0",0
"798",11396,42,"10",27,32,NA,"E331",106,3000,4,"1C","R4","0","0","10","",592,0,1600,0,0,0,0,48,33,0,0,"0","0","Y","5",12600,12600,1920,4,1026182,184384,"0","10","45","0",0
"800",3313,65,"07",10,11,NA,"L037",52,420,2,"2A","R8","1","0","11","",26,0,2001,0,0,0,0,1.23,19.62,0,0,"0","0","N","3",46,46,1920,2,1016020,258775,"0","7","21","0",0
"801",2197,74,"12",6,10,NA,"L036",34,110,1,"4A","M1-4","1","0","10","",1004,0,7664,0,0,0,0,10,100,0,0,"0","0","Y","8",4500,4500,1920,1,1008937,256983,"0","12","17","1",0
"803",7071,79,"13",21,47,NA,"L166",60,9020,3,"2B","R5","1","0","10","",4000,0,2064,0,0,0,0,40,100,0,0,"0","0","N","5",79650,79650,1920,3,987254,147922,"1","13","37","1",0
"804",9762,65,"12",28,24,NA,"E298",103,2720,4,"1C","R7A","1","0","11","",3125,0,1600,0,0,0,0,25,125,0,0,"0","0","N","5",13331,13331,1920,4,1038813,196407,"0","12","45","0",0
"805",14234,271,"10",27,32,NA,"L173",106,3611,4,"4E","R3A","1","0","11","X",150,0,1600,0,0,0,0,5,30,0,0,"0","0","N","8",147,147,1920,4,1031227,179251,"0","10","45","1",0
"806",14231,1124,"10",27,32,NA,"L173",106,3611,4,"4E","R3A","1","0","11","",700,0,1600,0,0,0,0,10,70,0,0,"0","0","N","8",420,420,1920,4,1031325,177861,"0","10","45","1",0
"809",4787,8,"95",31,50,NA,"E165",122,920,1," ","R3X","1","0","11","C",500,0,1500,0,0,0,0,25,20,0,0,"0","0","N","5",308,308,1920,5,953068,140116,"0","95","51","1",0
"810",4768,89,"03",31,50,NA,"E165",122,920,5,"1D","R3X","1","0","11","",8200,0,1500,0,0,0,0,100,82,0,0,"0","0","N","5",6577,6577,1920,5,953536,140943,"0","3","51","1",0
"811",7495,53,"03",31,51,NA,"L076",123,800,5,"7D","R3X","1","0","11","",4850,0,1500,0,0,0,0,50,97,0,0,"0","0","N","5",7404,7404,1920,5,923967,130909,"0","3","51","0",0
"812",2369,100,"03",9,17,NA,"L055",42,3500,2,"1B","M1-1/R7-2","1","0","11","",783,0,2001,0,0,0,0,28.79,25,0,0,"0","0","Y","5",24750,24750,1920,2,1009581,240257,"0","3","22","0",0
"813",421,17,"02",30,26,NA,"E258",108,710,4,"2A","M1-5/R9","1","0","7","X",67200,0,1600,1,0,0,0,150,448,0,0,"0","0","N","1",1402650,1402650,1920,4,1000530,212933,"0","2","41","0",0
"816",14245,1380,"10",27,32,NA,"L173",106,3611,4,"4E","R3A","1","0","11","",2080,0,1600,0,0,0,0,26,80,0,0,"0","0","N","5",2088,2088,1920,4,1031478,176977,"0","10","45","1",0
"817",14246,1170,"10",27,32,NA,"L173",106,3611,4,"4E","R3A","1","0","11","",1920,0,1600,0,0,0,0,24,80,0,0,"0","0","N","5",2013,2013,1920,4,1031510,177349,"0","10","45","1",0
"826",6751,230,"03",31,51,NA,"E151",123,800,5,"7D","R3X","1","0","11","C",16000,0,1500,0,0,0,0,100.58,100,0,0,"0","0","Y","6",9960,9960,1920,5,926560,129458,"0","3","51","1",0
"830",2,599,"01",31,49,NA,"E155",120,400,5,"2C","M1-1","1","0","11","C",67413,0,1500,0,0,0,0,93,1453,0,0,"0","0","Y","5",281250,281250,1920,5,961693,175199,"0","1","51","1",0
"837",5828,3547,"08",10,11,NA,"E052",50,100,2,"3D","R1-2","1","0","11","X",14912,0,2001,0,0,0,0,113.75,170,0,0,"0","0","Y","5",20596,20596,1920,2,1011726,266618,"0","8","21","0",0
"840",15465,11,"14",27,32,NA,"E266",100,3612,4,"2C","C3A","1","0","11","",3000,0,1600,0,0,0,0,51,95,0,0,"0","0","Y","2",360,360,1920,4,1035174,160161,"0","14","45","1",0
"841",15478,1050,"14",27,32,NA,"E266",100,3612,4,"2C","C3A","1","0","11","C",70950,0,1600,0,0,0,0,473,150,0,0,"0","0","N","3",58149,58149,1920,4,1034604,159237,"0","14","45","1",0
"842",14182,173,"10",27,32,NA,"L173",106,3611,4,"4E","R3A","1","0","11","",300,0,1600,0,0,0,0,6,50,0,0,"0","0","Y","8",290,290,1920,4,1031306,179399,"0","10","45","1",0
"844",84,280,"01",31,49,NA,"E155",120,400,5,"2D","R3-2","1","0","11","C",95760,0,1500,0,0,0,0,838.19,99.97,0,0,"0","0","Y","3",63525,63525,1920,5,959119,171304,"0","1","51","0",0
"845",618,58,"01",31,49,NA,"E160",120,500,5,"1E","R2","1","0","11","",312,0,1500,0,0,0,0,9.33,33.5,0,0,"0","0","Y","8",144,144,1920,5,959878,163762,"0","1","51","0",0
"846",64,130,"01",31,49,NA,"E155",120,400,5,"2D","R2","1","0","11","",3222,0,1500,0,0,0,0,56,115,0,0,"0","0","Y","5",5588,5588,1920,5,958531,173311,"0","1","51","0",0
"847",63,27,"01",31,49,NA,"E155",120,400,5,"2D","R2","1","0","11","",559,0,1500,0,0,0,0,5.33,105,0,0,"0","0","N","8",242,242,1920,5,958685,172707,"0","1","51","0",0
"848",2274,27,"02",31,50,NA,"L085",122,100,5,"2C","R1-2","1","0","11","X",4000,0,1500,0,0,0,0,40,100,0,0,"0","0","N","3",308,308,1920,5,946154,148916,"0","2","51","1",0
"850",5223,19,"03",31,51,NA,"E162",122,920,5,"3D","R3A","1","0","11","C",8100,0,1500,0,0,0,0,25,324,0,0,"0","0","N","3",1305,1305,1920,5,941212,138947,"0","3","51","0",0
"851",5474,24,"03",31,51,NA,"L082",122,920,5,"2D","R3-1","1","0","11","",51757,0,1500,0,0,0,0,242,202,0,0,"0","0","Y","3",79663,79663,1920,5,939898,142281,"0","3","51","0",0
"852",5223,125,"03",31,51,NA,"E162",122,920,5,"3D","R3A","1","0","11","C",6474,0,1500,0,0,0,0,123.49,119.67,0,0,"0","0","Y","5",1015,1015,1920,5,941322,138866,"0","3","51","0",0
"853",5408,23,"03",31,51,NA,"E164",123,800,5,"4D","R3X","1","0","10","",5000,0,1500,0,0,0,0,50,100,0,0,"0","0","N","3",125550,125550,1920,5,939274,132292,"0","3","51","0",0
"854",7562,4,"03",31,51,NA,"L076",123,800,5,"8E","R3X","1","0","11","",7500,0,1500,0,0,0,0,75,100,0,0,"0","0","N","5",1200,1200,1920,5,920530,128983,"0","3","51","0",0
"855",6616,80,"03",31,51,NA,"E164",123,800,5,"7E","R3X","1","0","11","C",4000,0,1500,0,0,0,0,40,100,0,0,"0","0","N","5",9240,9240,1920,5,930658,132517,"0","3","51","0",0
"856",7087,4,"03",31,51,NA,"E168",123,800,5,"6C","R3-1","1","0","11","",7537,0,1500,0,0,0,0,173.29,114.38,0,0,"0","0","Y","5",7935,7935,1920,5,923328,139371,"0","3","51","0",0
"857",7577,74,"03",31,51,NA,"L076",123,800,5,"8E","R3X","1","0","11","",10211,0,1500,0,0,0,0,42,150,0,0,"0","0","Y","5",10890,10890,1920,5,919480,129118,"0","3","51","1",0
"858",7730,1,"03",31,51,NA,"E151",123,800,5,"8C","R3X","1","0","11","C",16013,0,1500,0,0,0,0,122,144.67,0,0,"0","0","Y","3",16838,16838,1920,5,920540,123667,"0","3","51","0",0
"870",2724,33,"01",14,33,NA,"E229",94,200,3,"3B","M1-2/R6A","1","0","10","",590,0,2064,0,0,0,0,13.92,84.67,0,0,"0","0","Y","5",11700,11700,1920,3,999122,201322,"1","1","30","0",0
"872",4318,25,"05",19,42,NA,"E290",75,6420,3,"4C","R6","0","0","11","",2,0,2064,0,0,0,0,2.83,1.83,0,0,"0","0","Y","5",22,22,1920,3,1013499,178794,"0","5","33","0",0
"876",10155,91,"12",28,27,NA,"L127",103,3510,4,"3D","M1-1","0","0","0","",5848,0,1600,0,0,0,0,50,116,0,0,"0","0","N","5",85950,85950,1920,4,1041696,195559,"0","12","44","0",0
"878",14225,187,"10",27,32,NA,"L173",106,3611,4,"4E","R3A","1","0","11","C",8900,0,1600,0,0,0,0,119,140,0,0,"0","0","Y","2",4774,4774,1920,4,1030632,178828,"0","10","45","1",0
"879",14228,773,"10",27,32,NA,"L173",106,3611,4,"4E","R3A","1","0","11","",3850,0,1600,0,0,0,0,25,154,0,0,"0","0","Y","2",1789,1789,1920,4,1030933,178077,"0","10","45","1",0
"880",14246,1174,"10",27,32,NA,"L173",106,3611,4,"4E","R3A","1","0","11","",1920,0,1600,0,0,0,0,24,80,0,0,"0","0","N","5",2013,2013,1920,4,1031557,177359,"0","10","45","1",0
"882",14246,1178,"10",27,32,NA,"L173",106,3611,4,"4E","R3A","1","0","11","",1920,0,1600,0,0,0,0,24,80,0,0,"0","0","N","5",2013,2013,1920,4,1031602,177368,"0","10","45","1",0
"885",775,76,"02",31,49,NA,"E163",121,600,5,"3C","R3-1","0","0","11","X",1440,0,1500,0,0,0,0,20,72,0,0,"0","0","N","5",60,60,1920,5,947259,159907,"0","2","51","0",0
"887",3864,13,"02",31,50,NA,"L081",122,910,5,"2E","R3-1","1","0","11","",1641,0,1500,0,0,0,0,21,84,0,0,"0","0","Y","5",856,856,1920,5,960090,148327,"0","2","51","1",0
"888",4160,31,"03",31,50,NA,"E165",122,920,5,"1D","R3X","1","0","11","C",4100,0,1500,0,0,0,0,50,82,0,0,"0","0","N","5",3118,3118,1920,5,952884,141991,"0","3","51","1",0
"889",3861,32,"02",31,50,NA,"L081",122,910,5,"2E","R3-1","1","0","11","C",2000,0,1500,0,0,0,0,20,100,0,0,"0","0","N","5",180,180,1920,5,959947,148534,"0","2","51","1",0
"890",5421,15,"03",31,51,NA,"E164",123,920,5,"4D","R3-1","1","0","11","",9310,0,1500,0,0,0,0,87,107,0,0,"0","0","Y","5",60,60,1920,5,939970,131951,"0","3","51","0",0
"892",5531,68,"03",31,51,NA,"L082",122,920,5,"2C","R3A","1","0","11","",2600,0,1500,0,0,0,0,33,87,0,0,"0","0","Y","5",819,819,1920,5,937650,141586,"0","3","51","0",0
"894",6662,50,"03",31,51,NA,"E164",123,800,5,"7E","R3X","1","0","11","",4984,0,1500,0,0,0,0,51,106,0,0,"0","0","N","0",10140,10140,1920,5,929646,125877,"0","3","51","0",0
"896",7572,73,"03",31,51,NA,"L076",123,800,5,"8E","R3X","1","0","11","",175,0,1500,0,0,0,0,2.5,170,0,0,"0","0","Y","8",160,160,1920,5,919356,129325,"0","3","51","0",0
"897",7797,26,"03",31,51,NA,"E151",123,800,5,"8D","R1-2","1","0","11","",6136,0,1500,0,0,0,0,52,118,0,0,"0","0","N","5",982,982,1920,5,919420,127135,"0","3","51","0",0
