"","block","lot","cd","schooldist","council","zipcode","firecomp","policeprct","healtharea","sanitboro","sanitsub","zonedist1","spdist1","ltdheight","landuse","ownertype","lotarea","bldgarea","resarea","numbldgs","numfloors","unitsres","unitstotal","lotfront","lotdepth","bldgfront","bldgdepth","ext","proxcode","irrlotcode","lottype","assessland","assesstot","yearbuilt","borocode","xcoord","ycoord","edesignum","sanitdistrict","healthcenterdistrict","pfirm15_flag","last_modif"
"52934",7089,1,"03",31,51,NA,"L084",123,800,5,"6C","M2-1","1","0","11","",15700,0,1500,0,0,0,0,302,104,0,0,"0","0","Y","5",257850,257850,1920,5,922992,139833,"0","3","51","0",0
"52996",4463,218,"11",11,13,NA,"E097",49,820,2,"2D","R4","0","0","11","",23000,0,2001,0,0,0,0,109.74,684.7,0,0,"0","0","Y","6",7329,7329,1920,2,1025638,254129,"0","11","24","0",0
"52997",3124,4,"01",32,34,NA,"E237",90,900,3,"5B","M1-2","0","0","0","",1840,0,2064,0,0,0,0,25,75,0,0,"0","0","Y","5",27450,32400,1920,3,1002623,195481,"0","1","30","0",0
"53024",2867,35,"04",24,25,NA,"E287",110,1410,4,"1D","R4","0","0","11","",80,0,1600,0,0,0,0,4.17,40,0,0,"0","0","Y","8",10,10,1920,4,1018191,206630,"0","4","42","0",0
"53039",828,268,"02",31,50,NA,"E160",122,600,5,"3D","R1-1","1","0","11","",5000,0,1500,0,0,0,0,3,768,0,0,"0","0","Y","8",820,820,1920,5,957164,161209,"0","2","51","0",0
"53069",5101,66,"12",11,11,NA,"L039",47,510,2,"5C","M1-1","0","0","10","",27764,0,2001,0,0,0,0,124.42,260,0,0,"0","0","Y","5",446400,446400,1920,2,1024627,269605,"0","12","24","0",0
"53076",4651,21,"12",11,12,NA,"E062",47,610,2,"2C","R5A","0","0","11","",1863,0,2001,0,0,0,0,12.42,150,0,0,"0","0","N","5",467,467,1920,2,1021720,260910,"0","12","24","0",0
"53079",7207,280,"03",31,51,NA,"E168",123,800,5,"6D","M3-1","1","0","11","",103440,0,1500,1,0,0,0,284.57,151.42,0,0,"0","0","Y","5",755550,755550,1920,5,919395,139677,"0","3","51","0",0
"53096",6358,9,"03",31,51,NA,"E164",123,800,5,"4D","R3X","1","0","10","",4000,0,1500,0,0,0,0,40,100,0,0,"0","0","N","5",99900,99900,1920,5,938147,131783,"0","3","51","0",0
"53209",11552,78,"10",27,32,NA,"E331",106,3000,4,"1E","R3X","0","0","11","",2000,0,1600,0,0,0,0,20,100,0,0,"0","0","N","5",2466,2466,1920,4,1029497,183588,"0","10","45","0",0
"53210",5434,44,"03",31,51,NA,"L082",122,920,5,"2D","R3A","1","0","10","",4000,0,1500,1,1,0,0,40,100,10,20,"0","0","N","5",8127,10947,1950,5,941639,140233,"0","3","51","0",0
"53265",11421,108,"10",27,32,NA,"L173",106,3000,4,"1C","R5","0","0","11","C",16,0,1600,0,0,0,0,4.17,7.58,0,0,"0","0","Y","8",11,11,1920,4,1027361,182922,"0","10","45","0",0
